date,tweet_processed,score,sentiment
3/31/2017,must read full text of mukesh ambani s statement to reliance jio customers jioprime primemembership reliance at year high as street awaits jio prime subscribers data ,0.9231,1
4/3/2017,market update pm top sensex gainers losers gainers reliance inds loser strong response deadline extension of jio prime push reliance up by market live nifty opens at all time high sensex up over points reliance leads stockmarket stocks ,0.9186,1
4/5/2017, samsung is india s most trusted brand reliance jio in top brand trust report jio s mn paid users credit positive for reliance moody s ,0.9041,1
4/6/2017,reliance jio withdraws jio summer surprise offer on trai advice ,0.2732,1
4/7/2017,reliance jio pulls summer surprise offer what we know so far here s how reliance cap s stock reacted to buzz of stake sale in non core investments ,0.2732,1
4/10/2017,chart midcap outperforms nifty sensex loses pts infosys reliance drag sponsored investing in mutual funds through sips can lead to a happy retired lifestyle mfdayson th reliance mf ,0.4939,1
4/11/2017,reliance jio announces new dhan dhana dhan offer reliance jio impact telecom revenues falls for first time in years to rs trillion reliance jio impact telecom revenues falls for first time in years to rs trillion buzzingstock reliance power up signs agreements for mw power project in bangladesh power stockmarket reliance power up signs agreements for mw power project in bangladesh ,-0.9712,-1
4/12/2017, buzzingstock reliance defence slips on poor q numbers defence stocks stockmarket reliance jio announces new dhan dhana dhan offer months unlimited for rs reliancejio market live sensex nifty open cautious ahead of infosys earnings reliance gains ,0.34,1
4/13/2017, buzzingstock heritage foods up completes dairy biz acquisition of reliance retail dairy stockmarket stocks in the news reliance infosys cipla arshiya iol chem laurel majesco stockmarket stocks ,0,1
4/15/2017, bestoftheweek reliance jio announces new dhan dhana dhan offer months unlimited for rs ,0,1
4/16/2017, bestoftheweek reliance jio announces new dhan dhana dhan offer months unlimited for rs ,0,1
4/17/2017,stocks in news ioc cipla nestle indian hume pipe reliance power ,0,1
4/18/2017,reliance jio offers international calls for as low as rs per minute sponsored here are a few options for the investor looking to be financially secure mfdayson th reliance mf ,-0.891,-1
4/20/2017, sponsored need to take a break without financial liabilities crushing your resolve mfdayson th reliance mf reliance rises over as co commissions world s largest ethane project in record time stocks in the news reliance yes bank godrej prop zee ent bharat fin dhfl stockmarket ,0.7907,1
4/21/2017,ahead of q nos reliance industries up as co becomes nd largest para xylene producer reliancegroup earnings market update sensex top gainer reliance inds top loser reliance jio tops chart in g download speed in march trai report reliancejio g ,0.3612,1
4/24/2017,reliance industries quarterly result grm at year high of bbl reliance posts q profit at rs cr beats estimates earnings market live sensex opens higher nifty eyes hdfc bank reliance lead stocks in the news reliance infosys dr reddy s divis l amp t finance irb infra acc ,0.9812,1
4/25/2017,analysts largely hail reliance s q performance retain positive calls on stock stocks in the news reliance biocon strides rel comm tata power senex nifty ,0.765,1
4/26/2017,chart reliance home fin net rises two fold to rs cr in fy earningsspecial ,0,1
4/27/2017,reliance capital jan mar profit flat at rs cr reliance general gross written premium sees jump in fy stocks in the news reliance maruti axis bank cadila zee tata sponge gic housing ,0.872,1
5/5/2017,reliance jio plans to lease dark fibre laid under bharatnet initiative in talks with govt ,0,1
5/6/2017,icra downgrades reliance communication credit rating on weak business outlook ,-0.0772,-1
5/16/2017,chart of the day bajaj hind cg power reliance def suzlon videocon are among cos which had more than of promoter holdings pledged ,0,1
5/23/2017,care ratings downgrades long term short term loans of reliance communication ,0.4939,1
5/25/2017,we want to take our fifth year persistency to in two years reliance nippon life via maamitalks video here s why fitchratings have a negative watch rating on reliance communications ,-0.5267,-1
5/29/2017,reliance communications slips nearly post q results debt woes ,-0.6597,-1
5/31/2017,reliance communications bond sell off gathers pace after moody s rating cut ,-0.9485,-1
6/1/2017,reliance communications shares soar over on buzz of debt rejig plan ,-0.0772,-1
6/2/2017,billionaire anil ambani to address media as reliance communications reels ,0,1
6/4/2017,reliance jio tops chart in g download speed in april trai report reliancejio g ,0.5106,1
6/7/2017,reliance mf s sunil singhania sees economy doubling in years likes financials it cement via himadribuch,0.4215,1
6/8/2017, stocks in the news reliance capital endurance tata power cyient gujarat pipavav ,0,1
6/9/2017, stocks in the news infosys cipla hdfc max fin pidilite reliance capital srei ,0,1
6/12/2017,looking to come out with ipo in fy reliance general ceo via maamitalks telcos not investing in tech causing financial stress reliance jio reliancejio telecom ,-0.4215,-1
6/15/2017,live is reliance about to announce mega foray in fuel retail flameoftruth ril bp energyforindia bp ril nextwave ,0,1
6/20/2017, stocks in the news reliance infra spicejet ashoka buildcon gmr fortis vedanta ,0,1
6/22/2017, stocks in the news dr reddy s glenmark reliance defence ramky infra petronet lng reliance communications initiates process to monetise real estate assets telecom stocks in the news dr reddy s glenmark reliance defence ramky infra petronet lng stockmarket stocks ,0.3612,1
6/23/2017,reliance defence to partner france s daher for aerospace components stocks in the news mindtree wockhardt fortis healthcare quess corp reliance comm ,0.1027,1
6/28/2017,reliance industries refinances bn loans to cut interest cost ,0.2263,1
6/30/2017,reliance communications shares fall as company may surrender some spectrum to govt ,0.296,1
7/4/2017,reliance jio summer surprise jio dhan dhana dhan offers ends soon here s all you need to know to stay connected ,0.2732,1
7/5/2017,reliance jio to launch g volte phone at rs in july report ,0,1
7/6/2017,reliance jio offers jiogst starter kit with free data and more on jiofi device clsa jm financial front runners for reliance nippon life asset management ipo via himadribuch ,0.7003,1
7/21/2017,jiophone reliance s latest weapon of mass disruption reliancejio rilagm jiophone reliance industries it stocks help sensex gain pts nifty hold telecom dips sensex nifty stocks full text mukesh ambani speaks at reliance industries th agm rilagm mukeshambani relianceindustries reliance jio phone premium features at zero cost rilagm jiophone jiodigitallife here are the biggest takeaways from the agm about the reliance jio reliance industries q fy review firing on all cylinders reliance industries th agm here are the key takeaways rilagm mukeshambani market live nifty off day s high reliance gains jio launches phone at zero rupees ril agm reliance launches jiophone for rs rilagm reliance agm live unlimited dhan dhana dhan plan available on reliancejio phones only at rs rilagm reliance agm live jio phones are effectively free for customers rilagm reliance agm live ambani introduces jio phone calls on his children to explain the features rilagm mukesh ambani says this year marks the th year of ipo of reliance industries rilagm reliance industries shares surge what analysts expect from th agm reliance agm live what does mukesh ambani have in store relianceindustries mukeshambani buzzingstocks reliance industries hits fresh year high on solid q nos and ahead of agm relianceindustries buzzingstocks balaji telefilms soars after reliance picks up stake for rs crore balajimotionpic as reliance industries holds its th agm shareholders look for dividend in digital life relianceindustries ,0.9914,1
7/22/2017,jiophone reliance s latest weapon of mass disruption reliancejio jiophone reliance s latest weapon of mass disruption reliance industries is the top ranked among private sector firms followed by tata motors and rajesh exports jiophone reliance s latest weapon of mass disruption reliancejio months of reliance jio unlimited data free calls and a free jiophone find out more about the free intelligent phone by reliance ,0.3818,1
7/25/2017, sponsored planning to invest in mutualfunds here are things you need to know mfdayson th reliance mf ,0,1
7/27/2017,reliance capital q net profit up at rs cr sponsored want to know how mutualfund returns are taxed read here mfdayson th reliance mf ,0.9231,1
8/11/2017,reliance s myjio app crosses million downloads within a year on google play store jio ,0.34,1
8/16/2017,reliance defence engineering to seek shareholder nod for name change ,0.1027,1
8/21/2017,stocks in the news hdfc infosys icici bank reliance capital usha martin laurus stocks stockmarket ,0,1
8/29/2017,reliance capital to be excluded from s amp p indices stocks in the news infosys reliance capital magma fincorp rel infra ioc rbl bank ,-0.34,-1
9/5/2017, stocks in the news reliance capital ifci gmr suzlon manali petro piramal ent ,0,1
9/22/2017, stocks in the news jindal steel reliance home rcomm ndtv concor ,0,1
9/25/2017,reliance industries becomes world s rd largest energy firm reliance industries becomes world s rd largest energy firm skilled manager strong strategy makes reliance top worthy of silver rating morningstar ,0.8807,1
9/26/2017,rinfra plans rights issue for reliance naval amp engineering rinfra plans rights issue for reliance naval amp engineering reliance industries becomes world s rd largest energy firm reliancejio reliance industries becomes world s rd largest energy firm reliance mukeshambani reliance group agms today reliance agm,0.4939,1
9/27/2017,news live for every cr jiophones sold reliance to bear about rs cr ,0,1
9/29/2017,apple reliance partner up jio offers percent buyback on apple s iphone iphone plus apple reliance partner up jio offers percent buyback on apple s iphone iphone plus apple reliance partner up jio offers percent buyback on apple s iphone iphone plus reliance jio says customers to get of iphone price when selling it back stocks in the news mindtree l amp t reliance infra hcc jspl lovable lingerie trf stockstowatch stocks ,0.6124,1
9/30/2017,reliance s buyback option on latest iphones may boost apple s india presence ,0.4019,1
10/4/2017,reliance jio offers royalty programme for budget smartphones reliance communications calls off tower biz demerger plans sources reliance communications calls off tower biz demerger plans srcs ,0,1
10/5/2017,reliance industries among companies felicitated with green championship awards reliance s buyback option on latest iphones may boost apple s india presence stocks in the news m amp m reliance comm icici bank wockhardt nmdc mindtree stockmarket stocks nifty ,0.8834,1
10/9/2017,reliance general insurance files ipo papers with sebi reliance general insurance files drhp with sebi for ipo reliance capital arm to get rs cr loan from ireda for green projects stocks in the news reliance industries sparc mindtree obc maruti udyog adani enterprises stocks stockwatch ,0,1
10/10/2017,reliance nippon life ipo gets sebi go ahead reliance infrastructure in exclusivity talks with adani transmission ,0,1
10/12/2017,reliance nippon life ipo to open on oct price band at rs share ,0.296,1
10/13/2017,reliance jio posts rs crore revenue in q net loss at rs crore rilresults reliance ind q grm at year high rilresults reliance industries q profit falls to rs cr ebitda beats estimates rilresults reliance ind q consolidated net profit at rs cr reliance jio s pre diwali offer cashback on a recharge of rs reliancejio jiocare diwali reliance industries to announce q earnings today here s what to expect ,0.9186,1
10/15/2017,reliance exits from overseas oil and gas blocks ,-0.2263,-1
10/16/2017,encore reliance jiophone bookings set to resume post diwali ,0,1
10/19/2017,stocks in the news m amp m tata teleservices granules hdil reliance capital stocks diwali muhurattrading ,0,1
10/24/2017,news live reliance industries hits rs lakh crore market capitalisation reliance nippon life asset management ipo to open on wednesday things you should know ,0.3612,1
10/25/2017,reliance nippon life ipo fully subscribed on day what are brokerages saying about the issue reliance nippon life asset management ipo fully subscribed soon after opening ,0.3612,1
10/30/2017,reliance communications presents new debt repayment plan ,-0.3612,-1
10/31/2017,reliance communications shares rally on new debt repayment plan ,-0.0772,-1
11/1/2017,best indian brands tata tops the list for the fifth time reliance industries and follow ,0.8176,1
11/2/2017,best indian brands tata tops the list for the fifth time reliance industries and follow ,0.8176,1
11/3/2017,news live reliance nippon amc to make stock market debut on monday ,0,1
11/6/2017,market live sensex nifty mildly lower reliance nippon life gains reliance nippon life asset management debuts at rs a premium to its issue price of rs per share ,0.765,1
11/9/2017,reliance jio offers cashback vouchers worth rs on rs recharge news live reliance communications rs cr tower deal with brookfield collapses says report ,-0.0772,-1
11/10/2017,reliance jio offers cashback vouchers worth rs on rs recharge ,0.2263,1
11/17/2017,news live reliance industries set to raise bn to reduce dependence on high cost debt says report ,0.8885,1
11/18/2017,moody s withdraws reliance communication s corporate family rating on default ,-0.3612,-1
11/22/2017,news live goldmansachs sees reliance jio s operating income at bn by fy ,0,1
11/27/2017,reliance resumes process for jiophone booking news live sunil mittal says telcos wrote off up to bn due to reliance jio ,0,1
12/1/2017,reliance communications claims all lenders oppose china bank s insolvency plea ,0,1
12/5/2017,more chinese lenders plan to pursue reliance communications in insolvency court sources ,0,1
12/23/2017,reliance aims to be among top companies globally says mukesh ambani ril ,0.2023,1
12/27/2017,market live sensex opens above nifty trades flat reliance comm surges ,0.4019,1
12/28/2017,reliance jio rcom wireless assets deal a win win for both players top must buy stocks which can give up to return in the year reliance securities reliance communications to sell wireless assets to reliance jio news live reliance communications to sell its wireless assets to reliance jio reliance industries has been an integral part of india s steady march towards development and now the third generation of reliance s first family has stepped into the limelight watch anant ambani s inspiring speech at reliance family day ril reliancejio reliance infra likely to call off listing road portfolio via invit sources ,0.5423,1
12/29/2017,reliance communications shares surge on wireless assets deal with jio ,0.4404,1
1/1/2018,l amp t wins rs crore contracts from hpcl reliance industries ,0.5719,1
1/3/2018,reliance rallies after it commissions new rogc at jamnagar refinery stocks in the news reliance industries dixon technologies apar industries yash papers ivrcl ,0,1
1/15/2018,reliance jio to host india digital open summit on january ,0,1
1/17/2018, stocks in the news reliance industries gail bajaj finance mcx ,0,1
1/19/2018,comment petrochem volumes drove compelling reliance q but jio stole the show via ruchiagrawal and agrawant,0.1154,1
1/20/2018,petrochem volumes drove compelling reliance q but jio stole the show ,0.1154,1
1/22/2018,petrochem volumes drove compelling reliance q but jio stole the show via ruchiagrawal agrawant ,0.1154,1
1/23/2018,sasan plant may shut down in march for lack of coal reliance power tells delhi hc reliance jio hikes per day data limit by mb on popular plan ,-0.91,-1
1/24/2018,reliance jio hikes per day data limit by mb on popular plans ,-0.8807,-1
1/29/2018,reliance mf to charge exit fee on open ended equity schemes reliance industries gains post jiophone tariff cut ,0.0772,1
1/30/2018,reliance communications shares jump over after q earnings reliancemobile,0.296,1
2/3/2018,reliance to invest rs crore in assam create jobs mukesh ambani ,0.2732,1
2/6/2018, trai warned of punitive action if reliance communications fails to comply with its directive reliance brands pitches higher bid than firstcry may acquire mothercare s india distribution rights ,-0.802,-1
2/7/2018,reliance home finance q net profit doubles to rs crore ,0.9186,1
2/8/2018,reliance jio bags digital rights to broadcast winterolympics in india buy tata global kpit tech sell irb infra reliance infrastructure sudarshan sukhani ,0,1
2/9/2018,reliance communications skips payment of debentures worth rs crore ,0.2263,1
2/13/2018,reliance communications calls bondholders meet over asset sale plan ,0.3612,1
2/15/2018, essar sells cbm gas to gail using reliance formula ,0,1
2/16/2018,manipal technologies withdraws bankruptcy plea against reliance communications ,0,1
2/25/2018,reliance inks mous with ap govt for rs cr investment ,0,1
2/27/2018,reliance jio to cover population by diwali ,0,1
3/1/2018,transacting with reliance nippon life mutual fund got easier here s how reliance big tv s new offer makes set top boxes effectively free ,0.8689,1
3/6/2018,reliance infrastructure gains after delhi hc upholds arbitral award of rs crore ,0.7096,1
3/10/2018,reliance retail acquires stake in us based kti for million reliance,0,1
3/21/2018,reliance communications gets bondholders nod for asset sale news live rcom gets bondholders nod for asset sale to reliance jio infocomm reliance jio launches new jiofi g data card with mbps download speed priced at rs ,0.6124,1
3/22/2018,supreme court orders status quo in rcom s asset sale to reliance jio ,0.7269,1
3/23/2018,reliance industries inks billion deal to combine jiomusic with saavn news live reliance industries to integrate jio music and saavn in a transaction valued at over billion reliance jio s subscriber addition in january exceeds twice that of vodafone idea combined jio reliance mutual fund to suspend fresh subscriptions in small cap fund ,0.4404,1
3/27/2018,reliance industries unit sells some of its upstream shale assets in texas ,0.1779,1
3/29/2018,reliance financial sells lakh shares of gati ,0.296,1
3/30/2018,reliance jio alert prime service to remain free for more year new users to pay rs reliance capital arm sells pc stake in sula vineyards for rs cr ,0.6249,1
4/2/2018,icici prudential s equity fund manager vinay sharma joins reliance mutual fund reliance infrastructure rises on epc contract win from ministry of road transport and highways ,0.5859,1
4/4/2018,reliance jio launches mega gb pack for rs brings live show featuring sunil grover anil ambani s reliance sends rs crore defamation notice to congress s sanjay nirupam ,0,1
4/6/2018,sistema shyam lowers stake in reliance communications to reliance subsidiary moves hc seeking attachment of dmrc accounts ,0.1779,1
4/12/2018,impact of reliance jio taking smartphones data services to masses at affordable prices will have indelible impact on market says a harvard linked body ,0,1
